feature,mean_abs_shap,rank
CMF,0.1379725887661018,1
daily_return_lag1,0.1250849336659724,2
OBV,0.1242530381095446,3
MACD,0.1178450986505671,4
volatility_lag1,0.1078069615174735,5
RSI,0.0891604273197932,6
Volume_lag1,0.0769009942955294,7
MACD_signal,0.0721701137536808,8
VWAP,0.0682957464280006,9
EMA_12,0.0555123750327238,10
BB_middle,0.052134762920146,11
ATR,0.0492547698267731,12
Stochastic_D,0.045587355966194,13
sentiment_variance_mean,0.0454330824149161,14
Williams_R,0.0407913461279591,15
ADX,0.0335149250299019,16
BB_upper,0.0334197057132061,17
Stochastic_K,0.0287334654634389,18
BB_lower,0.0272452032265753,19
ceo_sentiment,0.0231543916617546,20
ensemble_sentiment_min,0.0204012383368259,21
finbert_sentiment_score_mean,0.0196947036780904,22
ensemble_sentiment_std,0.0195767432151994,23
headline_length_avg,0.0163105771331352,24
ceo_mention_count,0.015465955895064,25
ensemble_sentiment_mean,0.0144424981249964,26
ensemble_sentiment_max,0.0117998998963513,27
entity_density,0.0117328424588894,28
sentiment_analyst,0.0115395208357175,29
entity_sentiment_gap,0.0112168577577115,30
sentiment_earnings,0.0090462430116188,31
confidence_mean,0.00891827152151,32
num_headlines,0.0079064922092303,33
has_macroeconomic_news,0.0061894444772355,34
ensemble_sentiment_mean_lag1,0.0058318224023021,35
textblob_sentiment_score_mean,0.0051426466408425,36
sentiment_product,0.0045038576600297,37
count_positive_earnings,0.0044785682290473,38
model_consensus_mean,0.0035474047019875,39
competitor_mention_count,0.0027493349553582,40
vader_sentiment_score_mean,0.0021984389614068,41
count_negative_regulatory,0.0014983114047916,42
